OptimisationFactor                Factor     Solve      Total     MFLOPS       Unit      Cray-Ratio
               -fif-conversion2   0.911691   0.002817   0.914508    731.176  0.00273532    16.3305
 -finline-functions-called-once   0.977299   0.002759   0.980058    682.273  0.00293138     17.501
                  -fipa-profile    1.20374   0.002745    1.20649    554.226  0.00360864    21.5444
               -fipa-pure-const    1.20465   0.002751     1.2074    553.806  0.00361137    21.5608
                -fipa-reference    1.20546   0.002749    1.20821    553.435  0.00361379    21.5752
              -fmerge-constants      1.205    0.00272    1.20772    553.662  0.00361231    21.5664
         -fmove-loop-invariants   0.909618   0.002738   0.912356    732.901  0.00272888    16.2921
           -fomit-frame-pointer    1.01011   0.002804    1.01291    660.142  0.00302965    18.0877
               -freorder-blocks   0.973677   0.002824   0.976501    684.758  0.00292074    17.4375
                  -fshrink-wrap   0.908844   0.002749   0.911593    733.514  0.0027266    16.2784
         -fshrink-wrap-separate    0.90782    0.00274    0.91056    734.347  0.00272351      16.26
             -fsplit-wide-types    1.20386   0.002732    1.20659    554.179  0.00360894    21.5462
                 -fssa-backprop    1.20564   0.002756     1.2084    553.351  0.00361434    21.5785
                   -fssa-phiopt    1.20529    0.00274    1.20803    553.519  0.00361324    21.5719
                 -ftree-bit-ccp   0.907537   0.002732   0.910269    734.581  0.00272264    16.2548
                     -ftree-ccp   0.908037   0.002725   0.910762    734.184  0.00272411    16.2636
                      -ftree-ch    1.20377   0.002726    1.20649    554.224  0.00360865    21.5445
           -ftree-coalesce-vars   0.922755   0.002775    0.92553    722.469  0.00276829    16.5273
               -ftree-copy-prop   0.923132   0.002721   0.925853    722.217  0.00276925    16.5331
                     -ftree-dce    1.20426   0.002807    1.20707     553.96  0.00361037    21.5548
          -ftree-dominator-opts   0.922367   0.002777   0.925144     722.77  0.00276713    16.5204
                     -ftree-dse   0.907828   0.002709   0.910537    734.365  0.00272344    16.2596
                -ftree-forwprop   0.972326   0.002752   0.975078    685.757  0.00291648    17.4121
                     -ftree-fre   0.923103   0.002748   0.925851    722.218  0.00276925    16.5331
                 -ftree-phiprop   0.907455   0.002736   0.910191    734.644  0.00272241    16.2534
                     -ftree-pta    1.20388   0.002736    1.20662    554.166  0.00360902    21.5467
              -ftree-scev-cprop   0.911747   0.002752   0.914499    731.184  0.00273529    16.3303
                    -ftree-sink   0.908314   0.002724   0.911038    733.961  0.00272494    16.2685
                    -ftree-slsr     1.2046   0.002648    1.20725    553.876  0.00361092     21.558
                     -ftree-sra   0.972989   0.002729   0.975718    685.307  0.0029184    17.4235
                     -ftree-ter   0.911804   0.002741   0.914545    731.147  0.00273543    16.3312
                 -fauto-inc-dec   0.907529   0.002784   0.910313    734.546  0.00272277    16.2556
             -fbranch-count-reg   0.907402   0.002718    0.91012    734.702  0.00272219    16.2521
    -fcombine-stack-adjustments   0.997559   0.002764    1.00032    668.451  0.00299199    17.8629
                 -fcompare-elim    0.92226   0.002736   0.924996    722.886  0.00276669    16.5178
              -fcprop-registers    1.20471   0.002725    1.20744    553.789  0.00361149    21.5614
                          -fdce   0.906848   0.002719   0.909567    735.148  0.00272054    16.2423
                    -fdefer-pop   0.970014   0.002728   0.972742    687.404  0.0029095    17.3704
                          -fdse   0.909656   0.002722   0.912378    732.883  0.00272895    16.2925
            -fforward-propagate   0.906924   0.002741   0.909665    735.069  0.00272083     16.244
     -fguess-branch-probability   0.923491   0.002738   0.926229    721.924  0.00277038    16.5398
                -fif-conversion   0.909754   0.002765   0.912519     732.77  0.00272937     16.295
               -fif-conversion2   0.906552   0.002724   0.909276    735.384  0.00271967    16.2371
 -finline-functions-called-once   0.972196   0.002708   0.974904     685.88  0.00291596     17.409
                  -fipa-profile   0.906263   0.002709   0.908972     735.63  0.00271876    16.2316
               -fipa-pure-const   0.973871   0.002717   0.976588    684.697   0.002921    17.4391
                -fipa-reference   0.906897    0.00277   0.909667    735.068  0.00272084    16.2441
              -fmerge-constants   0.971865    0.00274   0.974605     686.09  0.00291507    17.4037
         -fmove-loop-invariants   0.907584   0.002724   0.910308     734.55  0.00272276    16.2555
           -fomit-frame-pointer   0.925669   0.002816   0.928485     720.17  0.00277712    16.5801
               -freorder-blocks    1.20371    0.00274    1.20645    554.244  0.00360852    21.5437
                  -fshrink-wrap   0.906113   0.002746   0.908859    735.721  0.00271842    16.2296
         -fshrink-wrap-separate   0.954239    0.00275   0.956989    698.719  0.00286238    17.0891
             -fsplit-wide-types   0.906834   0.002732   0.909566    735.149  0.00272054    16.2422
                 -fssa-backprop    0.90635   0.002717   0.909067    735.553  0.00271904    16.2333
                   -fssa-phiopt    1.20415   0.002713    1.20687    554.051  0.00360977    21.5512
                 -ftree-bit-ccp   0.952159   0.002876   0.955035    700.149  0.00285654    17.0542
                     -ftree-ccp   0.907211   0.002737   0.909948    734.841  0.00272168    16.2491
                      -ftree-ch   0.909471   0.002727   0.912198    733.028  0.00272841    16.2892
           -ftree-coalesce-vars   0.935696   0.002759   0.938455    712.519  0.00280694    16.7581
               -ftree-copy-prop    0.92398   0.002725   0.926705    721.553  0.0027718    16.5483
                     -ftree-dce   0.908174   0.002701   0.910875    734.093  0.00272445    16.2656
          -ftree-dominator-opts   0.974064   0.002738   0.976802    684.547  0.00292164    17.4429
                     -ftree-dse   0.988973   0.002737    0.99171    674.256  0.00296623    17.7091
                -ftree-forwprop   0.940658   0.002737   0.943395    708.788  0.00282172    16.8463
                     -ftree-fre    1.20372   0.002708    1.20643    554.254  0.00360846    21.5433
                 -ftree-phiprop   0.906414    0.00273   0.909144     735.49  0.00271927    16.2347
                     -ftree-pta   0.907934   0.002734   0.910668     734.26  0.00272383    16.2619
              -ftree-scev-cprop   0.972865   0.002708   0.975573    685.409  0.00291797    17.4209
                    -ftree-sink   0.909314   0.002739   0.912053    733.145  0.00272797    16.2867
                    -ftree-slsr    1.20411   0.002734    1.20685    554.061  0.00360971    21.5508
                     -ftree-sra    1.20602    0.00273    1.20875    553.189  0.0036154    21.5848
                     -ftree-ter   0.911805    0.00276   0.914565    731.131  0.00273549    16.3315
                 -fauto-inc-dec    1.20837   0.002651    1.21102    552.153  0.00362218    21.6253
             -fbranch-count-reg   0.938671   0.002764   0.941435    710.263  0.00281586    16.8113
    -fcombine-stack-adjustments   0.937752   0.002738    0.94049    710.977  0.00281303    16.7945
                 -fcompare-elim   0.909271    0.00274   0.912011    733.178  0.00272785    16.2859
              -fcprop-registers   0.911298   0.002752    0.91405    731.543  0.00273395    16.3223
                          -fdce    1.20536   0.002746    1.20811    553.483  0.00361348    21.5733
                    -fdefer-pop   0.910293   0.002743   0.913036    732.355  0.00273092    16.3042
                          -fdse   0.908778    0.00274   0.911518    733.575  0.00272637    16.2771
            -fforward-propagate   0.905626   0.002735   0.908361    736.124  0.00271693    16.2207
     -fguess-branch-probability    1.20272   0.002754    1.20547    554.691  0.00360561    21.5263
                -fif-conversion   0.940015   0.002709   0.942724    709.292  0.00281971    16.8344
               -fif-conversion2    1.20604   0.002708    1.20875    553.189  0.0036154    21.5848
 -finline-functions-called-once   0.906715   0.002746   0.909461    735.234  0.00272022    16.2404
                  -fipa-profile     1.2045   0.002751    1.20725    553.874  0.00361093    21.5581
               -fipa-pure-const   0.908527   0.002824   0.911351    733.709  0.00272588    16.2741
                -fipa-reference   0.908097   0.002742   0.910839    734.122  0.00272434     16.265
              -fmerge-constants    1.20454   0.002718    1.20726     553.87  0.00361095    21.5583
         -fmove-loop-invariants   0.908288   0.002788   0.911076    733.931  0.00272505    16.2692
           -fomit-frame-pointer   0.926866   0.002802   0.929668    719.253  0.00278066    16.6012
               -freorder-blocks    1.20768   0.002761    1.21044    552.418  0.00362045    21.6149
                  -fshrink-wrap     1.2041    0.00276    1.20686    554.053  0.00360977    21.5512
         -fshrink-wrap-separate   0.923417   0.002743    0.92616    721.978  0.00277017    16.5386
             -fsplit-wide-types   0.907471   0.002744   0.910215    734.625  0.00272248    16.2538
                 -fssa-backprop   0.909173   0.002813   0.911986    733.198  0.00272777    16.2855
                   -fssa-phiopt    1.20453   0.002744    1.20728    553.864  0.00361099    21.5585
                 -ftree-bit-ccp   0.914666   0.002744    0.91741    728.864   0.002744    16.3823
                     -ftree-ccp     0.9073   0.002763   0.910063    734.748  0.00272202    16.2511
                      -ftree-ch   0.921865   0.002752   0.924617    723.182  0.00276555     16.511
           -ftree-coalesce-vars     1.2141   0.002762    1.21686    549.501  0.00363967    21.7297
               -ftree-copy-prop   0.908969   0.002764   0.911733    733.402  0.00272702    16.2809
                     -ftree-dce    1.20504   0.002739    1.20778    553.634  0.00361249    21.5674
          -ftree-dominator-opts    1.20598   0.002752    1.20874    553.195  0.00361536    21.5846
                     -ftree-dse   0.908015   0.002762   0.910777    734.172  0.00272416    16.2639
                -ftree-forwprop    1.20538   0.002728    1.20811    553.481  0.00361349    21.5734
                     -ftree-fre   0.907498   0.002746   0.910244    734.602  0.00272256    16.2544
                 -ftree-phiprop   0.922543   0.002768   0.925311     722.64  0.00276763    16.5234
                     -ftree-pta    1.20721   0.002761    1.20997    552.631  0.00361905    21.6066
              -ftree-scev-cprop    1.20564   0.002736    1.20837     553.36  0.00361428    21.5781
                    -ftree-sink    1.20713   0.002728    1.20985    552.684  0.0036187    21.6045
                    -ftree-slsr   0.906343   0.002778   0.909121    735.509  0.00271921    16.2343
                     -ftree-sra   0.936972   0.002755   0.939727    711.554  0.00281075    16.7808
                     -ftree-ter   0.913376   0.002863   0.916239    729.795  0.0027405    16.3614
